"Freq [GHz]","dB(S(1,1)) []"
2,-0.221646563686575
2.0125,-0.228202080449923
2.025,-0.235010697648619
2.0375,-0.242084183644768
2.05,-0.249434925293491
2.0625,-0.257075963840248
2.075,-0.265021033066942
2.0875,-0.273284599828838
2.1,-0.281881907143433
2.1125,-0.290829019994818
2.125,-0.300142874032318
2.1375,-0.309841327352626
2.15,-0.319943215566088
2.1625,-0.33046841035941
2.175,-0.341437881785839
2.1875,-0.352873764517538
2.2,-0.364799428320746
2.2125,-0.377239553023314
2.225,-0.390220208258837
2.2375,-0.403768938294683
2.25,-0.417914852259624
2.2625,-0.432688720114285
2.275,-0.448123074715507
2.2875,-0.464252320351108
2.3,-0.481112848141641
2.3125,-0.498743158712839
2.325,-0.517183992579868
2.3375,-0.536478468684865
2.35,-0.556672231557823
2.3625,-0.577813607589976
2.375,-0.599953770913775
2.3875,-0.623146919413164
2.4,-0.647450461390116
2.4125,-0.672925213428018
2.425,-0.699635610008103
2.4375,-0.727649925425525
2.45,-0.757040508564873
2.4625,-0.787884031096237
2.475,-0.820261749622734
2.4875,-0.854259782327214
2.5,-0.8899694006223
2.5125,-0.92748733629235
2.525,-0.966916104578755
2.5375,-1.00836434362366
2.55,-1.05194717062491
2.5625,-1.09778655501669
2.575,-1.14601170890747
2.5875,-1.19675949495
2.6,-1.25017485173727
2.6125,-1.30641123674563
2.625,-1.36563108676563
2.6375,-1.42800629570705
2.65,-1.49371870959612
2.6625,-1.56296063856485
2.675,-1.6359353856343
2.6875,-1.71285779213533
2.7,-1.7939547997374
2.7125,-1.87946602925389
2.725,-1.96964437670216
2.7375,-2.06475662754801
2.75,-2.16508409070772
2.7625,-2.27092325470148
2.775,-2.38258646949715
2.7875,-2.50040265898601
2.8,-2.624718070886
2.8125,-2.7558970731017
2.825,-2.89432300842496
2.8375,-3.04039912288339
2.85,-3.19454958721864
2.8625,-3.357220636035
2.875,-3.52888185514371
2.8875,-3.71002765486385
2.9,-3.9011789754759
2.9125,-4.10288528118827
2.925,-4.31572691080123
2.9375,-4.54031786745739
2.95,-4.77730914646664
2.9625,-5.02739272019312
2.975,-5.29130632263587
2.9875,-5.56983920501262
3,-5.86383906796898
3.0125,-6.1742204181454
3.025,-6.50197464787156
3.0375,-6.84818219961441
3.05,-7.21402725374104
3.0625,-7.6008154722872
3.075,-8.009995445617
3.0875,-8.44318462431904
3.1,-8.9022006743885
3.1125,-9.38909935884417
3.125,-9.90622019680404
3.1375,-10.4562412149294
3.15,-11.0422439412542
3.1625,-11.6677890838106
3.175,-12.3370014185658
3.1875,-13.0546578607458
3.2,-13.8262624541471
3.2125,-14.6580694507896
3.225,-15.5569662156145
3.2375,-16.5300193261249
3.25,-17.583250362014
3.2625,-18.7187006247332
3.275,-19.9278338198713
3.2875,-21.1777465233037
3.3,-22.3863492580604
3.3125,-23.3932484159627
3.325,-23.9722183102117
3.3375,-23.9549371675738
3.35,-23.3825382739827
3.3625,-22.4644166227318
3.375,-21.4106532157367
3.3875,-20.3511750713872
3.4,-19.3467634703308
